Nombre: PARLA
Resultado: 101 - 85
Arbitro: Carlos Martínez
Tipo: Exhibición
Estadisticas: 
Nombre: ADRI, Puntos: 6, Faltas: 1
Nombre: PACO, Puntos: 9, Faltas: 2
Nombre: DANI, Puntos: 7, Faltas: 1
Nombre: LAUREN, Puntos: 6, Faltas: 1
Nombre: ANDRES, Puntos: 10, Faltas: 3
Nombre: ABDU, Puntos: 7, Faltas: 0
Nombre: MARIO, Puntos: 7, Faltas: 3
Nombre: JUAN, Puntos: 8, Faltas: 0
Nombre: CARLOS, Puntos: 9, Faltas: 0
Nombre: FERNANDO, Puntos: 9, Faltas: 1
Nombre: LUIS, Puntos: 13, Faltas: 2
Nombre: JORGE, Puntos: 10, Faltas: 2
---
